possession,game_id,possession_team,length,startPosition,endPosition
2,3942819,England,13,"[60.0, 40.0]","[81.3, 49.9]"
3,3942819,Netherlands,5,"[50.0, 29.3]","[50.5, 29.3]"
4,3942819,Netherlands,35,"[50.1, 16.3]","[83.5, 75.9]"
5,3942819,England,96,"[36.4, 4.2]","[70.7, 24.3]"
6,3942819,England,17,"[63.7, 17.9]","[74.2, 28.6]"
7,3942819,Netherlands,27,"[45.9, 51.5]","[96.6, 48.6]"
8,3942819,England,33,"[8.2, 33.1]","[111.5, 5.3]"
9,3942819,Netherlands,39,"[13.6, 62.5]","[57.1, 6.7]"
10,3942819,England,43,"[63.0, 73.4]","[77.5, 32.9]"
11,3942819,Netherlands,31,"[9.4, 60.2]","[2.7, 38.6]"
12,3942819,England,43,"[60.0, 40.0]","[91.0, 18.7]"
13,3942819,England,13,"[90.4, 17.7]","[84.4, 46.9]"
14,3942819,England,6,"[84.0, 53.0]","[4.3, 46.0]"
15,3942819,England,4,"[110.6, 0.1]","[110.6, 1.2]"
16,3942819,Netherlands,20,"[11.6, 77.8]","[51.9, 77.9]"
17,3942819,England,17,"[68.2, 2.2]","[1.7, 40.4]"
18,3942819,England,57,"[106.2, 0.1]","[107.6, 34.3]"
19,3942819,England,2,"[108.1, 40.0]","[1.0, 40.0]"
20,3942819,Netherlands,4,"[61.0, 40.1]","[80.4, 71.5]"
21,3942819,England,1,"[39.4, 0.1]","[39.4, 0.1]"
22,3942819,Netherlands,21,"[28.7, 71.3]","[46.2, 75.4]"
23,3942819,Netherlands,25,"[64.8, 0.1]","[61.2, 15.7]"
24,3942819,England,63,"[51.5, 80.0]","[97.5, 50.4]"
25,3942819,Netherlands,8,"[15.5, 33.2]","[87.6, 72.6]"
26,3942819,Netherlands,11,"[34.7, 0.1]","[62.4, 22.7]"
27,3942819,England,29,"[46.5, 40.6]","[3.3, 38.9]"
28,3942819,England,28,"[103.2, 80.0]","[98.6, 61.4]"
30,3942819,England,88,"[104.1, 73.4]","[72.8, 1.0]"
31,3942819,Netherlands,51,"[40.2, 69.0]","[16.4, 9.6]"
32,3942819,Netherlands,56,"[85.1, 80.0]","[92.3, 63.3]"
33,3942819,England,40,"[29.2, 18.1]","[74.7, 1.4]"
34,3942819,Netherlands,14,"[40.1, 68.0]","[2.5, 38.9]"
35,3942819,Netherlands,5,"[120.0, 80.0]","[1.0, 39.2]"
36,3942819,England,94,"[2.1, 38.9]","[2.3, 39.0]"
37,3942819,Netherlands,5,"[6.5, 33.5]","[69.4, 72.7]"
38,3942819,England,45,"[48.2, 7.5]","[11.1, 47.4]"
39,3942819,Netherlands,8,"[6.5, 48.5]","[83.5, 67.1]"
40,3942819,England,54,"[35.6, 25.0]","[101.6, 12.7]"
41,3942819,Netherlands,10,"[18.3, 80.0]","[23.2, 33.7]"
42,3942819,England,93,"[15.0, 25.9]","[98.4, 50.6]"
43,3942819,Netherlands,1,"[1.8, 39.6]","[1.8, 39.6]"
44,3942819,Netherlands,24,"[4.6, 42.0]","[89.5, 47.2]"
45,3942819,England,57,"[31.4, 29.5]","[2.7, 38.1]"
46,3942819,England,9,"[111.5, 80.0]","[81.6, 54.8]"
47,3942819,Netherlands,28,"[37.9, 25.7]","[79.6, 78.6]"
48,3942819,England,136,"[35.6, 0.1]","[113.1, 19.5]"
