possession_id,value,attention_weights,game_id,team_id,team_name,period,time_start,time_end,outcome
136,0.31407914,"[0.1360833, 0.1049274, 0.06507989, 0.0716358, 0.114641316, 0.15253168, 0.19839518, 0.15670542]",3943043,772,Spain,2,5148,5156,Goal
9,0.28296188,"[0.14079112, 0.1084644, 0.0655224, 0.07004049, 0.11027013, 0.15188998, 0.20121016, 0.15181124]",3943043,772,Spain,1,244,258,Pass
81,0.2819102,"[0.13379474, 0.101845376, 0.06219051, 0.06754388, 0.10697085, 0.14358087, 0.19614367, 0.18793015]",3943043,772,Spain,2,2755,2769,Goal
138,0.26033282,"[0.24623016, 0.21127371, 0.1217544, 0.1410848, 0.27965698, 0.0, 0.0, 0.0]",3943043,768,England,2,5352,5357,Shot
123,0.25723282,"[0.14316098, 0.11064993, 0.06686632, 0.071883716, 0.11410462, 0.1488374, 0.1993429, 0.14515403]",3943043,772,Spain,2,4644,4660,Pass
105,0.2548608,"[0.14422035, 0.11118439, 0.067830764, 0.072316416, 0.113247216, 0.14641476, 0.19674984, 0.14803626]",3943043,772,Spain,2,3938,3945,Shot
134,0.23983306,"[0.14233151, 0.10897918, 0.066767804, 0.073385485, 0.11548305, 0.15214428, 0.1979043, 0.14300436]",3943043,772,Spain,2,5083,5097,Pass
26,0.23875085,"[0.14349923, 0.109536484, 0.067179106, 0.072061755, 0.11391908, 0.15217851, 0.19721928, 0.14440656]",3943043,768,England,1,873,883,Pass
58,0.22151771,"[0.14380959, 0.10965711, 0.06701245, 0.07239254, 0.112847514, 0.15005438, 0.19748254, 0.14674388]",3943043,772,Spain,1,2147,2155,Pass
109,0.22049472,"[0.14425011, 0.10994032, 0.06785103, 0.07346815, 0.115203574, 0.15010077, 0.19573705, 0.14344908]",3943043,772,Spain,2,4084,4090,Pass
30,0.21589665,"[0.14299288, 0.10954253, 0.066587806, 0.07298795, 0.11454636, 0.15250999, 0.19704399, 0.14378843]",3943043,772,Spain,1,1120,1128,Pass
69,0.21460037,"[0.14543682, 0.11190383, 0.06853739, 0.073561266, 0.11376197, 0.14907856, 0.1932453, 0.14447486]",3943043,772,Spain,1,2532,2544,Shot
137,0.21394923,"[0.13391902, 0.10348664, 0.0665088, 0.07278891, 0.1148711, 0.15300173, 0.20371756, 0.1517062]",3943043,768,England,2,5265,5279,Pass
24,0.20704177,"[0.13757321, 0.1045782, 0.06628337, 0.07239196, 0.115082495, 0.15544277, 0.2047319, 0.14391616]",3943043,772,Spain,1,817,832,Pass
120,0.19704261,"[0.13946949, 0.10772321, 0.067977786, 0.07343245, 0.11588197, 0.15236814, 0.20001262, 0.14313431]",3943043,768,England,2,4442,4454,Pass
60,0.19235882,"[0.14502974, 0.11270381, 0.06923425, 0.07425456, 0.11374397, 0.14760055, 0.19317266, 0.14426047]",3943043,772,Spain,1,2258,2270,Pass
