,player_name,team_name,attention_lstm_total_value,transformer_total_value,num_sequences,sofascore_rating
20,Nicholas Williams Arthuer,Spain,1.2427846398786642,1.7204727457501576,102,7.9
6,Fabián Ruiz Peña,Spain,0.9629677360062489,0.7986860712571797,125,7.4
3,Daniel Carvajal Ramos,Spain,0.7769069208297879,0.6659890413939138,126,6.7
4,Daniel Olmo Carvajal,Spain,0.7095765370177105,0.5065547517806408,70,6.9
0,Aymeric Laporte,Spain,0.6601640203152783,0.5687097757690935,152,7.0
23,Robin Aime Robert Le Normand,Spain,0.6580669719260186,0.4313174031340168,153,6.9
14,Lamine Yamal Nasraoui Ebana,Spain,0.5715117016807199,0.817240982716612,75,7.5
5,Declan Rice,England,0.5319274057401344,1.2226076898659812,71,6.8
11,Jude Bellingham,England,0.5284540707943961,0.4688737772812601,66,7.7
1,Bukayo Saka,England,0.4100167937576771,0.4488484912581043,56,6.8
16,Marc Cucurella Saseta,Spain,0.3996008277172223,0.3062612938647362,72,7.1
13,Kyle Walker,England,0.3938545408891514,0.6829215585603379,77,6.8
2,Cole Palmer,England,0.325123640242964,0.1135893307218793,17,7.3
15,Luke Shaw,England,0.2922421473776921,0.1616884715622291,40,6.8
9,Jordan Pickford,England,0.281184998631943,0.4177736687051947,64,7.4
26,Álvaro Borja Morata Martín,Spain,0.2718851596582681,0.3121200849709566,36,6.3
24,Rodrigo Hernández Cascante,Spain,0.2482140139909461,0.1641747161775129,52,6.8
18,Martín Zubimendi Ibáñez,Spain,0.2467687353491783,0.1506500884424895,49,7.0
25,Unai Simón Mendibil,Spain,0.2361824954277835,0.1268140571191907,60,6.5
8,John Stones,England,0.2101845018332824,0.1656497768053668,58,6.7
22,Phil Foden,England,0.1887461348669603,0.2782418312017398,35,6.8
12,Kobbie Mainoo,England,0.184101749677211,0.1871788993885275,37,6.5
17,Marc Guehi,England,0.1753134042955935,0.1332308739220025,39,6.7
7,Harry Kane,England,0.1294191642664373,0.1224614288657903,16,6.5
19,Mikel Oyarzabal Ugarte,Spain,0.1235252015758305,0.1646611854666844,8,7.5
21,Ollie Watkins,England,0.0931267160922288,0.111955807195045,5,6.4
10,José Ignacio Fernández Iglesias,Spain,0.0130593911744654,0.0161413439782336,6,6.6
