player_name,team_name,Pozycja,sofascore_rating
Nicholas Williams Arthuer,Spain,Pomocnik,8.0
Jude Bellingham,England,Pomocnik,8.1
Lamine Yamal Nasraoui Ebana,Spain,Pomocnik,7.8
Mikel Oyarzabal Ugarte,Spain,Napastnik,7.6
Fabián Ruiz Peña,Spain,Pomocnik,7.4
Jordan Pickford,England,Bramkarz,6.5
Cole Palmer,England,Napastnik,7.6
Marc Cucurella Saseta,Spain,Obrońca,7.2
Aymeric Laporte,Spain,Obrońca,7.5
Martín Zubimendi Ibáñez,Spain,Pomocnik,7.0
Daniel Olmo Carvajal,Spain,Pomocnik,7.0
Robin Aime Robert Le Normand,Spain,Obrońca,7.3
Bukayo Saka,England,Pomocnik,7.1
Declan Rice,England,Pomocnik,6.8
Kyle Walker,England,Obrońca,6.4
Luke Shaw,England,Obrońca,6.4
Phil Foden,England,Pomocnik,6.5
Rodrigo Hernández Cascante,Spain,Pomocnik,7.6
Daniel Carvajal Ramos,Spain,Obrońca,7.4
John Stones,England,Obrońca,6.5
Marc Guehi,England,Obrońca,6.5
José Ignacio Fernández Iglesias,Spain,Obrońca,Nan
Harry Kane,England,Napastnik,6.1
Kobbie Mainoo,England,Pomocnik,6.5
Unai Simón Mendibil,Spain,Bramkarz,7.0
Ollie Watkins,England,Napastnik,6.0
Álvaro Borja Morata Martín,Spain,Napastnik,7.1

