player_name,team_name,Pozycja,sofascore_rating
Nicholas Williams Arthuer,Spain,Pomocnik,7.9
Jude Bellingham,England,Pomocnik,7.7
Lamine Yamal Nasraoui Ebana,Spain,Pomocnik,7.5
Mikel Oyarzabal Ugarte,Spain,Napastnik,7.5
Fabián Ruiz Peña,Spain,Pomocnik,7.4
Jordan Pickford,England,Bramkarz,7.4
Cole Palmer,England,Napastnik,7.3
Marc Cucurella Saseta,Spain,Obrońca,7.1
Aymeric Laporte,Spain,Obrońca,7.0
Martín Zubimendi Ibáñez,Spain,Pomocnik,7.0
Daniel Olmo Carvajal,Spain,Pomocnik,6.9
Robin Aime Robert Le Normand,Spain,Obrońca,6.9
Bukayo Saka,England,Pomocnik,6.8
Declan Rice,England,Pomocnik,6.8
Kyle Walker,England,Obrońca,6.8
Luke Shaw,England,Obrońca,6.8
Phil Foden,England,Pomocnik,6.8
Rodrigo Hernández Cascante,Spain,Pomocnik,6.8
Daniel Carvajal Ramos,Spain,Obrońca,6.7
John Stones,England,Obrońca,6.7
Marc Guehi,England,Obrońca,6.7
José Ignacio Fernández Iglesias,Spain,Obrońca,6.6
Harry Kane,England,Napastnik,6.5
Kobbie Mainoo,England,Pomocnik,6.5
Unai Simón Mendibil,Spain,Bramkarz,6.5
Ollie Watkins,England,Napastnik,6.4
Álvaro Borja Morata Martín,Spain,Napastnik,6.3

