possession_id,value,attention_weights,game_id,team_id,team_name,period,time_start,time_end,outcome
138,0.96591675,"[0.030595362, 0.057299633, 0.89980656, 0.0015447484, 0.010753622, 0.0, 0.0, 0.0]",3943043,768,England,2,5352,5357,Shot
136,0.2691232,"[0.03531895, 0.04223966, 0.07606718, 0.050725147, 0.06911623, 0.039032858, 0.40850443, 0.27899554]",3943043,772,Spain,2,5148,5156,Goal
26,0.26446435,"[0.059626095, 0.020182941, 0.033532828, 0.014519987, 0.25488013, 0.06931856, 0.5328884, 0.015051057]",3943043,768,England,1,873,883,Pass
134,0.26148364,"[0.014614124, 0.007161314, 0.013937032, 0.08353374, 0.0475417, 0.083659224, 0.03080287, 0.71875]",3943043,772,Spain,2,5083,5097,Pass
30,0.25407913,"[0.0061846296, 0.016006019, 0.014362092, 0.012807944, 0.1702473, 0.046475988, 0.006488775, 0.72742724]",3943043,772,Spain,1,1120,1128,Pass
69,0.25193268,"[0.020544428, 0.024091672, 0.12175627, 0.015319355, 0.23203102, 0.5312548, 0.036519654, 0.018482765]",3943043,772,Spain,1,2532,2544,Shot
123,0.25099114,"[0.22484303, 0.03588601, 0.037842505, 0.058516562, 0.02084383, 0.0017404518, 0.56221807, 0.058109537]",3943043,772,Spain,2,4644,4660,Pass
9,0.24853472,"[0.029200695, 0.14541864, 0.064294726, 0.08489428, 0.03177771, 0.03102295, 0.55183196, 0.061559115]",3943043,772,Spain,1,244,258,Pass
60,0.2476977,"[0.00018678051, 0.00011412009, 0.0015097812, 0.011209716, 0.032765873, 0.15961708, 0.04459664, 0.75]",3943043,772,Spain,1,2258,2270,Pass
120,0.24138673,"[0.0020507982, 0.00028399943, 0.040187627, 0.00073332875, 0.03130716, 0.123079374, 0.75446594, 0.047891803]",3943043,768,England,2,4442,4454,Pass
81,0.23504876,"[0.042661827, 0.045205552, 0.0051437225, 0.015213725, 0.018158723, 0.1774756, 0.119012445, 0.5771284]",3943043,772,Spain,2,2755,2769,Goal
102,0.23137648,"[0.00043717163, 0.0067613386, 0.0010577164, 0.054020356, 0.0070528854, 0.012595602, 0.13682494, 0.78125]",3943043,768,England,2,3862,3874,Pass
58,0.21264176,"[0.00093932357, 0.002133206, 0.009279689, 0.0148348315, 0.051865246, 0.011938255, 0.12775946, 0.78125]",3943043,772,Spain,1,2147,2155,Pass
129,0.21256499,"[0.052012406, 0.0052272878, 0.07799867, 0.002670949, 0.781249, 0.059856154, 0.01942411, 0.00156145]",3943043,772,Spain,2,4871,4875,Shot
105,0.21240923,"[0.0010522663, 0.01157066, 0.01759411, 0.018256616, 0.11907421, 0.6617781, 0.01563851, 0.15503551]",3943043,772,Spain,2,3938,3945,Shot
36,0.15033883,"[0.00011410216, 0.009064185, 0.0006097405, 0.14160976, 0.0026912172, 0.0127521325, 0.05190887, 0.78125]",3943043,772,Spain,1,1349,1364,Pass
137,0.14353988,"[0.00011727217, 0.024866002, 0.023368334, 0.00948097, 0.042383797, 0.016729396, 0.8187077, 0.064346485]",3943043,768,England,2,5265,5279,Pass
75,0.13448507,"[0.7334472, 0.15590858, 0.11064424, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,768,England,1,2739,2741,Shot
22,0.13167062,"[0.6304605, 0.21874958, 0.15078995, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,772,Spain,1,738,741,Shot
24,0.11349828,"[0.001847766, 0.00041664418, 0.022262897, 0.009169049, 0.058752317, 0.047729407, 0.7812301, 0.07859191]",3943043,772,Spain,1,817,832,Pass
109,0.10382808,"[0.00066522905, 0.0013200089, 0.03368143, 0.020373262, 0.047390774, 0.07708164, 0.8132182, 0.0062694727]",3943043,772,Spain,2,4084,4090,Pass
83,0.102584906,"[0.044806212, 0.001110427, 0.019475007, 0.0019614939, 0.05288443, 0.7997791, 0.060551725, 0.019431625]",3943043,772,Spain,2,2891,2899,Shot
21,0.097591706,"[0.023937471, 0.038120035, 0.007473993, 0.04614088, 0.0078106467, 0.06310344, 0.5578531, 0.2555605]",3943043,772,Spain,1,657,673,Shot
77,0.08391031,"[0.0854951, 0.5393526, 0.37515235, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,772,Spain,1,2763,2766,Pass
44,0.0834338,"[0.008126804, 0.18346514, 0.005994105, 0.004538097, 0.005591091, 0.015363419, 0.6426436, 0.13427775]",3943043,772,Spain,1,1634,1647,Shot
117,0.080791466,"[0.21935408, 0.0044489126, 0.027872533, 0.0031169448, 0.068760395, 0.5572186, 0.055478536, 0.06375]",3943043,768,England,2,4315,4328,Goal
66,0.07432406,"[0.11860023, 0.030779617, 0.048168074, 0.11412439, 0.07099238, 0.009560104, 0.052785654, 0.55498964]",3943043,768,England,1,2448,2460,Pass
106,0.071001135,"[0.055513196, 0.5020023, 0.040966406, 0.28329948, 0.058788322, 0.059430283, 0.0, 0.0]",3943043,772,Spain,2,3985,3993,Shot
115,0.07073168,"[0.028745595, 0.06606978, 0.27872986, 0.1589464, 0.46750838, 0.0, 0.0, 0.0]",3943043,772,Spain,2,4304,4310,Shot
142,0.07008977,"[0.04319322, 0.28920525, 0.1416134, 0.52598816, 0.0, 0.0, 0.0, 0.0]",3943043,768,England,2,5447,5454,Foul
29,0.06670333,"[0.09268975, 0.12111262, 0.019839283, 0.03861308, 0.018556254, 0.016987056, 0.56626004, 0.1259419]",3943043,772,Spain,1,1071,1085,Pass
110,0.065127626,"[0.034395307, 0.031841204, 0.021467522, 0.19952716, 0.01989498, 0.5908803, 0.05640409, 0.045589462]",3943043,772,Spain,2,4138,4147,Shot
100,0.062063098,"[0.016682807, 0.002769568, 0.0043542385, 0.0033693826, 0.0035823134, 0.0838771, 0.6284828, 0.25688174]",3943043,768,England,2,3773,3792,Shot
2,0.057246402,"[0.07114517, 0.525277, 0.40357777, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,768,England,1,0,4,Pass
92,0.055674493,"[0.24661383, 0.001726241, 0.0024593205, 0.015170028, 0.017907433, 0.46732286, 0.05305239, 0.1957479]",3943043,772,Spain,2,3307,3323,Shot
107,0.05455368,"[0.09894235, 0.4540949, 0.44696277, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,772,Spain,2,4058,4060,Pass
122,0.05307159,"[0.02590037, 0.031058665, 0.048970718, 0.45413065, 0.43993962, 0.0, 0.0, 0.0]",3943043,768,England,2,4521,4530,Pass
74,0.05152566,"[0.006094983, 0.05642103, 0.012259909, 0.18715401, 0.6570427, 0.014476546, 0.0429808, 0.023570068]",3943043,768,England,1,2640,2648,Shot
146,0.050712377,"[0.3978136, 0.049906448, 0.03701144, 0.51526856, 0.0, 0.0, 0.0, 0.0]",3943043,768,England,2,5560,5567,Foul
133,0.05069767,"[0.0045076557, 0.010919176, 0.0063686576, 0.011819533, 0.24993235, 0.0202091, 0.05345195, 0.64279157]",3943043,772,Spain,2,5038,5044,Pass
38,0.050569132,"[0.42816028, 0.42174196, 0.06906771, 0.022395875, 0.05863418, 0.0, 0.0, 0.0]",3943043,772,Spain,1,1374,1378,Pass
87,0.049123064,"[0.2480316, 0.002011386, 0.0009790593, 0.008417668, 0.009865332, 0.020629866, 0.041767452, 0.66829765]",3943043,768,England,2,2980,2989,Pass
124,0.04876046,"[0.22776017, 0.064866275, 0.41095248, 0.24764434, 0.04877672, 0.0, 0.0, 0.0]",3943043,772,Spain,2,4697,4703,Pass
39,0.048630394,"[0.0138749955, 0.066561885, 0.41292205, 0.011745688, 0.4948954, 0.0, 0.0, 0.0]",3943043,772,Spain,1,1391,1400,Foul
40,0.047877476,"[0.01566609, 0.0073254122, 0.009540556, 0.23492031, 0.011407681, 0.02853107, 0.08848036, 0.60412854]",3943043,768,England,1,1452,1460,Pass
12,0.046722032,"[0.24582212, 0.0051366813, 0.56428295, 0.0066359728, 0.006183066, 0.028638992, 0.076140046, 0.06716022]",3943043,772,Spain,1,423,432,Pass
15,0.046138696,"[0.07971863, 0.006616994, 0.015528334, 0.14407247, 0.009843987, 0.02365248, 0.020171503, 0.7003956]",3943043,772,Spain,1,471,480,Pass
10,0.045280736,"[0.4144743, 0.021879839, 0.5218929, 0.04175294, 0.0, 0.0, 0.0, 0.0]",3943043,772,Spain,1,287,294,Pass
125,0.044788174,"[0.03996512, 0.009239181, 0.20841467, 0.018060118, 0.01982384, 0.032455586, 0.041414764, 0.63062674]",3943043,772,Spain,2,4755,4766,Pass
56,0.0434216,"[0.21713789, 0.006992084, 0.0043863705, 0.014651154, 0.030195234, 0.02623633, 0.100199044, 0.6002019]",3943043,772,Spain,1,2000,2012,Pass
