possession_id,value,attention_weights,game_id,team_id,team_name,period,time_start,time_end,outcome
138,1.0647821,"[0.24946576, 0.06241611, 0.19326714, 0.001379557, 0.49347132, 0.0, 0.0, 0.0]",3943043,768,England,2,5352,5357,Shot
75,0.2813104,"[0.5112219, 0.4887781, 5.188332e-09, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,768,England,1,2739,2741,Shot
26,0.28051472,"[0.037876878, 0.024625627, 7.605281e-08, 2.3368565e-07, 2.2162885e-07, 3.984006e-06, 0.8790907, 0.05840227]",3943043,768,England,1,873,883,Pass
136,0.2692236,"[0.024082033, 0.037421152, 0.0054981783, 4.265723e-05, 0.0005721126, 8.715042e-06, 0.49527976, 0.43709537]",3943043,772,Spain,2,5148,5156,Goal
123,0.26864746,"[9.296497e-05, 1.3694788e-05, 5.791299e-08, 0.06239884, 1.9348735e-07, 6.5540576e-06, 0.9373481, 0.00013961412]",3943043,772,Spain,2,4644,4660,Pass
9,0.26754913,"[1.6984959e-05, 6.5825784e-06, 1.0797624e-09, 0.062475067, 1.3399473e-06, 3.0257603e-08, 0.93749994, 5.8398953e-08]",3943043,772,Spain,1,244,258,Pass
69,0.26389265,"[0.044875484, 0.00036247078, 0.10313072, 0.015970748, 1.8409128e-07, 0.2108235, 0.6248329, 4.0227656e-06]",3943043,772,Spain,1,2532,2544,Shot
120,0.25617763,"[0.062014375, 0.00033152616, 0.00014655874, 6.68867e-06, 8.47372e-07, 3.091443e-12, 0.9375, 4.1652674e-11]",3943043,768,England,2,4442,4454,Pass
134,0.25406453,"[0.049843386, 0.011077862, 0.00053807435, 0.00016761418, 0.0008736399, 4.373484e-08, 0.049769983, 0.8877294]",3943043,772,Spain,2,5083,5097,Pass
30,0.24797785,"[0.0008824082, 0.05631751, 5.4689714e-05, 0.00309467, 0.002147034, 3.685918e-06, 6.1760113e-09, 0.9375]",3943043,772,Spain,1,1120,1128,Pass
105,0.24259111,"[1.7396669e-06, 4.639875e-06, 3.7400446e-06, 0.024743175, 1.8297341e-06, 0.038547862, 0.009995896, 0.9267011]",3943043,772,Spain,2,3938,3945,Shot
81,0.23457792,"[0.044753447, 0.016656501, 0.0010908038, 0.062319905, 5.865699e-06, 1.4081321e-08, 0.86386603, 0.011307424]",3943043,772,Spain,2,2755,2769,Goal
36,0.2076856,"[0.01926255, 0.012823098, 0.0057622776, 0.016399428, 0.0025396687, 0.005203183, 0.0005097863, 0.9375]",3943043,772,Spain,1,1349,1364,Pass
60,0.20105033,"[0.0019701582, 0.00013874393, 0.0040841945, 0.055970892, 0.0002834521, 4.9765753e-05, 2.7905319e-06, 0.9375]",3943043,772,Spain,1,2258,2270,Pass
22,0.19301668,"[3.9829433e-07, 0.99999964, 2.2763527e-10, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,772,Spain,1,738,741,Shot
109,0.19066416,"[0.0052268924, 0.010461608, 0.012248846, 0.011231815, 0.012427602, 0.010869631, 0.8989682, 0.03856528]",3943043,772,Spain,2,4084,4090,Pass
129,0.15876344,"[1.3083947e-07, 0.00010189022, 0.053161673, 6.4613225e-05, 0.062481396, 0.0001262585, 0.87477726, 0.009286773]",3943043,772,Spain,2,4871,4875,Shot
115,0.157002,"[0.059174206, 0.017289814, 0.0010174117, 0.4475727, 0.47494584, 0.0, 0.0, 0.0]",3943043,772,Spain,2,4304,4310,Shot
58,0.14563294,"[7.449963e-05, 3.0215097e-05, 5.5198674e-05, 4.807989e-05, 7.588986e-05, 8.9304034e-05, 7.224995e-05, 0.9995546]",3943043,772,Spain,1,2147,2155,Pass
83,0.12360485,"[9.567556e-11, 0.004964634, 1.4911168e-09, 1.7373812e-11, 4.4560826e-07, 0.037607457, 0.9570349, 0.00039260273]",3943043,772,Spain,2,2891,2899,Shot
102,0.12202799,"[1.430763e-10, 6.876749e-11, 2.1412155e-10, 2.522183e-11, 8.383425e-11, 3.2620243e-11, 2.956112e-08, 1.0]",3943043,768,England,2,3862,3874,Pass
24,0.10514559,"[2.800423e-19, 2.8539928e-17, 5.3738243e-19, 6.811891e-17, 7.236875e-17, 5.2797784e-13, 0.4988315, 0.5011685]",3943043,772,Spain,1,817,832,Pass
137,0.09796478,"[5.9169935e-20, 3.2694225e-14, 6.3552475e-15, 4.6145735e-12, 5.254619e-11, 1.0949657e-08, 0.9806499, 0.019350136]",3943043,768,England,2,5265,5279,Pass
40,0.090994254,"[4.0400565e-16, 4.2626296e-14, 6.5148824e-11, 3.2257736e-13, 3.804335e-15, 0.0037955442, 0.9962043, 1.0380918e-07]",3943043,768,England,1,1452,1460,Pass
