possession_id,value,attention_weights,game_id,team_id,team_name,period,time_start,time_end,outcome
105,1.0692366,"[0.12784317, 0.12948383, 0.13039972, 0.15291695, 0.21940802, 0.23994827]",3930160,785,Croatia,2,3269,3274,Shot
93,0.837993,"[0.16219652, 0.16261756, 0.16224198, 0.1643149, 0.16946009, 0.17916891]",3938638,905,Romania,2,3384,3387,Goal
69,0.7682437,"[0.118750334, 0.12176555, 0.11974769, 0.13607576, 0.27104688, 0.23261386]",3930170,944,Slovenia,1,2221,2224,Shot
90,0.7668818,"[0.1581034, 0.15888995, 0.15831865, 0.16358826, 0.17179988, 0.18929993]",3930174,780,Portugal,2,3296,3303,Goal
107,0.68519473,"[0.16201408, 0.16217808, 0.16304822, 0.164361, 0.16680875, 0.18158978]",3930184,912,Czech Republic,2,3918,3925,Goal
105,0.67818797,"[0.15938236, 0.15999411, 0.15992042, 0.1731408, 0.17369664, 0.17386572]",3942227,773,Switzerland,2,4448,4454,Goal
149,0.6422007,"[0.15303756, 0.1549546, 0.15318596, 0.159656, 0.18493962, 0.19422618]",3938644,780,Portugal,2,5523,5528,Shot
61,0.6172329,"[0.1441151, 0.14644568, 0.14696668, 0.15420268, 0.21330984, 0.19496001]",3938641,789,Poland,1,1771,1776,Goal
77,0.52914566,"[0.32044435, 0.114571445, 0.110417, 0.11504004, 0.17299272, 0.16653436]",3930178,785,Croatia,2,3247,3257,Goal
26,0.4564015,"[0.19401562, 0.17290746, 0.1430952, 0.15439208, 0.16961825, 0.16597141]",3930171,768,England,1,1031,1041,Goal
61,0.4369948,"[0.23725668, 0.13930972, 0.08416201, 0.13389811, 0.19031246, 0.21506107]",3930180,915,Austria,1,2226,2231,Shot
106,0.42250893,"[0.25805637, 0.24600467, 0.22852962, 0.26740935, 0.0, 0.0]",3938642,912,Czech Republic,2,3484,3487,Goal
33,0.41264692,"[0.23706475, 0.13953677, 0.13408367, 0.15133125, 0.1795879, 0.15839562]",3941017,908,Slovakia,1,1454,1463,Goal
51,0.40492842,"[0.24286237, 0.13786586, 0.09335727, 0.14382595, 0.17879252, 0.20329608]",3930166,780,Portugal,1,1873,1879,Shot
116,0.38252082,"[0.34452254, 0.15706486, 0.10467308, 0.11731948, 0.1298141, 0.14660594]",3940878,914,Italy,2,4400,4414,Shot
145,0.3821101,"[0.1792498, 0.20614353, 0.17814305, 0.2124115, 0.22405213, 0.0]",3941017,768,England,3,5446,5451,Goal
