possession_id,value,attention_weights,game_id,team_id,team_name,period,time_start,time_end,outcome
138,0.33236283,"[0.16318074, 0.14258035, 0.14832829, 0.19074854, 0.21441098, 0.14075123]",3943043,768,England,2,5352,5357,Shot
92,0.33153817,"[0.18041322, 0.14469658, 0.15457103, 0.16086437, 0.17803115, 0.1814237]",3943043,772,Spain,2,3267,3323,Shot
136,0.29893687,"[0.2046728, 0.17864235, 0.16313072, 0.16986793, 0.16159075, 0.122095406]",3943043,772,Spain,2,5143,5156,Goal
123,0.2827444,"[0.20026481, 0.14770141, 0.163083, 0.17267518, 0.18985885, 0.12641673]",3943043,772,Spain,2,4541,4660,Pass
110,0.28072605,"[0.19914609, 0.18334042, 0.17102161, 0.16312984, 0.15703964, 0.12632248]",3943043,772,Spain,2,4123,4147,Shot
9,0.2770063,"[0.19543609, 0.15142609, 0.1501189, 0.17239328, 0.19388688, 0.13673873]",3943043,772,Spain,1,202,258,Pass
69,0.2621591,"[0.18466435, 0.1650764, 0.17021519, 0.17136985, 0.18880124, 0.11987294]",3943043,772,Spain,1,2522,2544,Shot
26,0.26102737,"[0.18666801, 0.16244929, 0.15349594, 0.17574787, 0.1755125, 0.14612633]",3943043,768,England,1,870,883,Pass
110,0.26049882,"[0.18205987, 0.16265747, 0.14579546, 0.18011107, 0.19704837, 0.13232781]",3943043,772,Spain,2,4123,4147,Shot
26,0.25425655,"[0.18343906, 0.1558803, 0.16878007, 0.18058825, 0.19243148, 0.118880816]",3943043,768,England,1,870,883,Pass
123,0.2529381,"[0.19281198, 0.16938806, 0.1546316, 0.17785473, 0.18410389, 0.12120981]",3943043,772,Spain,2,4541,4660,Pass
60,0.25254193,"[0.17444818, 0.15731166, 0.17013974, 0.1858789, 0.19119452, 0.12102689]",3943043,772,Spain,1,2200,2270,Pass
105,0.24957353,"[0.16734602, 0.1554231, 0.18765116, 0.19411041, 0.18476905, 0.11070026]",3943043,772,Spain,2,3937,3945,Shot
134,0.24865681,"[0.1725451, 0.15792412, 0.17232154, 0.1895487, 0.19172391, 0.11593666]",3943043,772,Spain,2,5073,5097,Pass
9,0.24622276,"[0.18548079, 0.16641046, 0.16704825, 0.17684531, 0.184451, 0.11976421]",3943043,772,Spain,1,202,258,Pass
110,0.24350485,"[0.18332523, 0.16801298, 0.172255, 0.17740802, 0.18611825, 0.11288051]",3943043,772,Spain,2,4123,4147,Shot
137,0.239842,"[0.17261276, 0.15540741, 0.16758758, 0.18424504, 0.20134805, 0.11879909]",3943043,768,England,2,5260,5279,Pass
30,0.23421606,"[0.17354836, 0.16061583, 0.16780294, 0.1917634, 0.1956909, 0.1105786]",3943043,772,Spain,1,1100,1128,Pass
9,0.23190057,"[0.16984957, 0.15438282, 0.18025665, 0.19432865, 0.19229634, 0.108885966]",3943043,772,Spain,1,202,258,Pass
24,0.23123896,"[0.16834992, 0.1511755, 0.16434234, 0.19213334, 0.19973762, 0.12426132]",3943043,772,Spain,1,794,832,Pass
120,0.2260426,"[0.16641183, 0.15083711, 0.16648547, 0.20111601, 0.19973503, 0.115414664]",3943043,768,England,2,4420,4454,Pass
109,0.2238026,"[0.16685304, 0.1477373, 0.1604108, 0.17852803, 0.19955762, 0.1469132]",3943043,772,Spain,2,4084,4090,Pass
136,0.22170898,"[0.17852876, 0.15640321, 0.1652151, 0.17996028, 0.19690518, 0.12298746]",3943043,772,Spain,2,5143,5156,Goal
9,0.21407935,"[0.18691623, 0.17321375, 0.17267217, 0.17952412, 0.17578423, 0.11188951]",3943043,772,Spain,1,202,258,Pass
129,0.20795968,"[0.1807671, 0.15176174, 0.17046405, 0.19294281, 0.18621382, 0.11785049]",3943043,772,Spain,2,4861,4875,Shot
92,0.20524266,"[0.10948903, 0.16177921, 0.20449965, 0.20278995, 0.19897509, 0.122467056]",3943043,772,Spain,2,3267,3323,Shot
69,0.20361218,"[0.19092469, 0.16647407, 0.15546969, 0.18026301, 0.17880358, 0.12806489]",3943043,772,Spain,1,2522,2544,Shot
129,0.20255068,"[0.15161067, 0.14839408, 0.1635335, 0.1966462, 0.2109902, 0.12882535]",3943043,772,Spain,2,4861,4875,Shot
92,0.19912222,"[0.1753782, 0.18457052, 0.17223288, 0.18100797, 0.1793961, 0.10741426]",3943043,772,Spain,2,3267,3323,Shot
120,0.19676474,"[0.16296315, 0.15165666, 0.16485444, 0.18071362, 0.18808572, 0.15172645]",3943043,768,England,2,4420,4454,Pass
36,0.19076249,"[0.15219131, 0.15609185, 0.16455033, 0.20196542, 0.20175478, 0.123446256]",3943043,772,Spain,1,1348,1364,Pass
69,0.18666881,"[0.1472553, 0.15941817, 0.17524014, 0.19769993, 0.19666597, 0.12372055]",3943043,772,Spain,1,2522,2544,Shot
83,0.17807078,"[0.13008884, 0.15318595, 0.1782894, 0.20179921, 0.20250039, 0.13413624]",3943043,772,Spain,2,2851,2899,Shot
92,0.17679712,"[0.102127925, 0.11400592, 0.14697932, 0.22048043, 0.25676924, 0.15963715]",3943043,772,Spain,2,3267,3323,Shot
58,0.16985333,"[0.15058617, 0.15847479, 0.1802204, 0.19852152, 0.19702326, 0.115173906]",3943043,772,Spain,1,2093,2155,Shot
92,0.16083714,"[0.10065876, 0.09919287, 0.17282185, 0.23896606, 0.23929957, 0.14906083]",3943043,772,Spain,2,3267,3323,Shot
117,0.13645774,"[0.13349922, 0.13614161, 0.15923889, 0.21967559, 0.22665986, 0.12478484]",3943043,768,England,2,4312,4328,Goal
24,0.12960866,"[0.14623265, 0.15043454, 0.17922057, 0.19263104, 0.19343683, 0.13804434]",3943043,772,Spain,1,794,832,Pass
137,0.12929499,"[0.14673115, 0.15432966, 0.17081171, 0.20148084, 0.19730462, 0.12934197]",3943043,768,England,2,5260,5279,Pass
40,0.12758312,"[0.15819673, 0.1547403, 0.15727308, 0.19538456, 0.20413, 0.13027531]",3943043,768,England,1,1442,1460,Pass
40,0.12370971,"[0.11730739, 0.14794812, 0.1816739, 0.2066009, 0.20129749, 0.14517227]",3943043,768,England,1,1442,1460,Pass
83,0.11745827,"[0.106908165, 0.1378549, 0.17782812, 0.20585804, 0.22758015, 0.14397064]",3943043,772,Spain,2,2851,2899,Shot
129,0.115806855,"[0.14538655, 0.14809904, 0.18912037, 0.1965193, 0.18669945, 0.1341754]",3943043,772,Spain,2,4861,4875,Shot
