possession_id,value,attention_weights,game_id,team_id,team_name,period,time_start,time_end,outcome
136,0.2876258,"[0.16181299, 0.115897626, 0.07775725, 0.066993505, 0.085676916, 0.13874228, 0.1923745, 0.16074486]",3943043,772,Spain,2,5148,5156,Goal
138,0.2838536,"[0.30480784, 0.23322867, 0.14171307, 0.12878574, 0.1914646, 0.0, 0.0, 0.0]",3943043,768,England,2,5352,5357,Shot
9,0.270475,"[0.16390431, 0.11871687, 0.07843228, 0.06811822, 0.08862865, 0.14096746, 0.19487078, 0.14636146]",3943043,772,Spain,1,244,258,Pass
123,0.26976377,"[0.16440955, 0.11916562, 0.07927186, 0.06874714, 0.08791447, 0.14454247, 0.19522473, 0.14072423]",3943043,772,Spain,2,4644,4660,Pass
137,0.26922917,"[0.16631585, 0.11464828, 0.07883462, 0.067866646, 0.08818074, 0.14439186, 0.19486396, 0.14489809]",3943043,768,England,2,5265,5279,Pass
69,0.26813287,"[0.16859388, 0.12405749, 0.08325602, 0.071298696, 0.09036085, 0.14309, 0.18268135, 0.13666168]",3943043,772,Spain,1,2532,2544,Shot
26,0.26498416,"[0.16163476, 0.11726436, 0.07923418, 0.06804539, 0.08776006, 0.14273594, 0.19250609, 0.15081921]",3943043,768,England,1,873,883,Pass
134,0.2547285,"[0.16292524, 0.11782165, 0.0783666, 0.06723639, 0.08779405, 0.14437105, 0.19420025, 0.1472848]",3943043,772,Spain,2,5083,5097,Pass
105,0.24871455,"[0.15966149, 0.11749867, 0.0789504, 0.067446284, 0.08830276, 0.14342105, 0.19723079, 0.1474885]",3943043,772,Spain,2,3938,3945,Shot
109,0.24759188,"[0.15935053, 0.11700108, 0.078657776, 0.067610234, 0.089697406, 0.14742427, 0.1938124, 0.1464463]",3943043,772,Spain,2,4084,4090,Pass
30,0.23558639,"[0.16318405, 0.119472, 0.07876863, 0.06756389, 0.08814625, 0.14590897, 0.1920391, 0.14491704]",3943043,772,Spain,1,1120,1128,Pass
22,0.2170298,"[0.478379, 0.30614847, 0.21547258, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,772,Spain,1,738,741,Shot
120,0.215602,"[0.16081594, 0.11913039, 0.08098365, 0.06933509, 0.09120809, 0.14430606, 0.19288127, 0.14133944]",3943043,768,England,2,4442,4454,Pass
60,0.19728495,"[0.14888664, 0.10785043, 0.07699498, 0.06782642, 0.088649705, 0.14946085, 0.2024326, 0.15789849]",3943043,772,Spain,1,2258,2270,Pass
24,0.19423042,"[0.15276709, 0.1135694, 0.07949328, 0.069580995, 0.08976791, 0.14718287, 0.20135367, 0.14628482]",3943043,772,Spain,1,817,832,Pass
75,0.18754192,"[0.46311626, 0.3144043, 0.22247946, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,768,England,1,2739,2741,Shot
36,0.18467148,"[0.14621317, 0.11342866, 0.07927908, 0.068814754, 0.08991045, 0.14861348, 0.19848481, 0.15525565]",3943043,772,Spain,1,1349,1364,Pass
129,0.17493764,"[0.12885535, 0.1005052, 0.07300551, 0.0642432, 0.09039288, 0.15334387, 0.21470118, 0.17495283]",3943043,772,Spain,2,4871,4875,Shot
40,0.16443713,"[0.14139701, 0.11400081, 0.08165742, 0.071372926, 0.09095342, 0.15062317, 0.20521902, 0.1447763]",3943043,768,England,1,1452,1460,Pass
81,0.15885842,"[0.106494114, 0.08734714, 0.07348416, 0.0708504, 0.09503375, 0.15369971, 0.21601945, 0.19707131]",3943043,772,Spain,2,2755,2769,Goal
83,0.12810805,"[0.11572966, 0.09499495, 0.07602809, 0.06929221, 0.09109097, 0.15504785, 0.21118377, 0.18663254]",3943043,772,Spain,2,2891,2899,Shot
102,0.11975984,"[0.11704962, 0.09258296, 0.07742893, 0.07279906, 0.0943821, 0.158941, 0.21742512, 0.16939119]",3943043,768,England,2,3862,3874,Pass
58,0.11263955,"[0.12443181, 0.10095647, 0.078604005, 0.0727304, 0.09607199, 0.1598291, 0.2113383, 0.1560379]",3943043,772,Spain,1,2147,2155,Pass
124,0.10600735,"[0.33326283, 0.23386335, 0.15119754, 0.12942715, 0.15224913, 0.0, 0.0, 0.0]",3943043,772,Spain,2,4697,4703,Pass
21,0.096986055,"[0.10911818, 0.087487645, 0.06845431, 0.065268286, 0.086824805, 0.15577313, 0.21870959, 0.20836407]",3943043,772,Spain,1,657,673,Shot
115,0.09075033,"[0.26420802, 0.20623404, 0.15366884, 0.14100504, 0.23488396, 0.0, 0.0, 0.0]",3943043,772,Spain,2,4304,4310,Shot
2,0.0898104,"[0.45091867, 0.32293698, 0.22614434, 0.0, 0.0, 0.0, 0.0, 0.0]",3943043,768,England,1,0,4,Pass
106,0.08960831,"[0.17138831, 0.15548477, 0.11613612, 0.110451415, 0.15694492, 0.28959447, 0.0, 0.0]",3943043,772,Spain,2,3985,3993,Shot
122,0.08533469,"[0.3106545, 0.21948376, 0.15823355, 0.13959557, 0.17203255, 0.0, 0.0, 0.0]",3943043,768,England,2,4521,4530,Pass
111,0.08025035,"[0.11525795, 0.09808625, 0.09728769, 0.09148779, 0.10958377, 0.19233371, 0.29596284, 0.0]",3943043,768,England,2,4194,4209,Shot
29,0.0705744,"[0.10259819, 0.080881104, 0.07117795, 0.07046706, 0.0958856, 0.1679085, 0.23888332, 0.17219831]",3943043,772,Spain,1,1071,1085,Pass
38,0.06534132,"[0.23171382, 0.20880398, 0.1791139, 0.16383703, 0.2165313, 0.0, 0.0, 0.0]",3943043,772,Spain,1,1374,1378,Pass
133,0.06494435,"[0.105899565, 0.08589263, 0.07323614, 0.07311091, 0.09724596, 0.16382703, 0.23067893, 0.17010888]",3943043,772,Spain,2,5038,5044,Pass
44,0.06330836,"[0.09978572, 0.08306148, 0.07662404, 0.071030654, 0.09178534, 0.16356562, 0.22680311, 0.18734404]",3943043,772,Spain,1,1634,1647,Shot
10,0.05882819,"[0.39883384, 0.26233193, 0.17853463, 0.16029964, 0.0, 0.0, 0.0, 0.0]",3943043,772,Spain,1,287,294,Pass
27,0.05817569,"[0.103393055, 0.08884514, 0.077171296, 0.075016886, 0.09703806, 0.1675296, 0.22464876, 0.16635731]",3943043,768,England,1,1002,1014,Pass
97,0.057467654,"[0.092016555, 0.07727911, 0.068729945, 0.067650065, 0.08727645, 0.16301185, 0.24974403, 0.19429193]",3943043,772,Spain,2,3526,3531,Pass
125,0.056048036,"[0.09254952, 0.075595304, 0.06923273, 0.06937478, 0.08541765, 0.16042064, 0.24257891, 0.20483048]",3943043,772,Spain,2,4755,4766,Pass
117,0.054932088,"[0.08793912, 0.071417384, 0.06804908, 0.07109201, 0.095385395, 0.17429905, 0.23602879, 0.19578914]",3943043,768,England,2,4315,4328,Goal
100,0.05442236,"[0.09630952, 0.08057308, 0.07687783, 0.07635116, 0.09630318, 0.1615341, 0.22597447, 0.1860767]",3943043,768,England,2,3773,3792,Shot
66,0.053213682,"[0.105565265, 0.08175635, 0.07344676, 0.07458829, 0.09746548, 0.16057916, 0.22584343, 0.18075532]",3943043,768,England,1,2448,2460,Pass
12,0.0527098,"[0.0885177, 0.07376201, 0.070330486, 0.07080422, 0.08667142, 0.15917486, 0.25153035, 0.1992089]",3943043,772,Spain,1,423,432,Pass
