possession_id,value,attention_weights,game_id,team_id,team_name,period,time_start,time_end,outcome
105,1.3047333,"[0.16183005, 0.16288975, 0.16693738, 0.18921787, 0.16764066, 0.15148425]",3930160,785,Croatia,2,3269,3274,Shot
69,1.007855,"[0.13746956, 0.119140126, 0.21922965, 0.20426638, 0.052851636, 0.26704267]",3930170,944,Slovenia,1,2221,2224,Shot
93,0.8176925,"[0.08095518, 0.12737347, 0.11473516, 0.22102794, 0.15441036, 0.30149782]",3938638,905,Romania,2,3384,3387,Goal
77,0.5971509,"[0.12595488, 0.13488746, 0.107360624, 0.24702276, 0.09907692, 0.28569734]",3930178,785,Croatia,2,3247,3257,Goal
107,0.5853788,"[0.14552414, 0.34542948, 0.11351305, 0.10730103, 0.14295882, 0.14527345]",3930184,912,Czech Republic,2,3918,3925,Goal
61,0.491817,"[0.1981442, 0.17493977, 0.11091924, 0.20013458, 0.08162263, 0.23423956]",3938641,789,Poland,1,1771,1776,Goal
116,0.45693737,"[0.118766755, 0.13107058, 0.11787921, 0.07191398, 0.319082, 0.24128745]",3940878,914,Italy,2,4400,4414,Shot
135,0.4049716,"[0.11017723, 0.10486979, 0.096504204, 0.18017392, 0.40842968, 0.09984508]",3938637,789,Poland,2,5325,5328,Shot
26,0.3825465,"[0.10929255, 0.11590904, 0.14887908, 0.24866818, 0.14644752, 0.23080358]",3930171,768,England,1,1031,1041,Goal
134,0.37121153,"[0.16455911, 0.17182475, 0.16185296, 0.09510612, 0.09985717, 0.30679983]",3938640,911,Ukraine,2,4737,4745,Goal
85,0.35183147,"[0.2064854, 0.19529049, 0.12724727, 0.11907028, 0.119677275, 0.23222935]",3941018,772,Spain,2,3033,3040,Goal
85,0.35122544,"[0.16931386, 0.1748712, 0.12731826, 0.20642354, 0.14401662, 0.1780566]",3930176,770,Germany,2,2988,2995,Shot
105,0.35108352,"[0.19625577, 0.08830493, 0.11638264, 0.08730756, 0.3979552, 0.11379385]",3942227,773,Switzerland,2,4448,4454,Goal
27,0.32728937,"[0.19295418, 0.17552409, 0.1681035, 0.4634183, 0.0, 0.0]",3938640,908,Slovakia,1,1012,1016,Goal
106,0.3232197,"[0.23124371, 0.45788527, 0.13789944, 0.17297162, 0.0, 0.0]",3938642,912,Czech Republic,2,3484,3487,Goal
126,0.3157885,"[0.18662064, 0.13864692, 0.08275793, 0.077180184, 0.09876917, 0.41602516]",3930175,905,Romania,2,4051,4061,Shot
136,0.31278658,"[0.14788516, 0.12489973, 0.12938459, 0.09746278, 0.16409025, 0.3362775]",3941021,941,Netherlands,2,4936,4943,Goal
74,0.30656156,"[0.2904068, 0.31444356, 0.39514953, 0.0, 0.0, 0.0]",3930169,942,Scotland,1,2264,2266,Shot
25,0.30640984,"[0.1608332, 0.15632458, 0.1497645, 0.14654794, 0.14544772, 0.24108209]",3938639,909,Turkey,1,801,806,Shot
