possession_id,value,attention_weights,game_id,team_id,team_name,period,time_start,time_end,outcome
138,0.30463773,"[0.16753505, 0.16330767, 0.31314364, 0.17556052, 0.18045314, 0.0]",3943043,768,England,2,5352,5357,Shot
26,0.27689672,"[0.26766473, 0.17861055, 0.13486667, 0.13819417, 0.13969277, 0.1409711]",3943043,768,England,1,876,883,Pass
69,0.2767601,"[0.16855791, 0.15372297, 0.15642755, 0.15166366, 0.14737801, 0.22224993]",3943043,772,Spain,1,2539,2544,Pass
123,0.27672398,"[0.2421585, 0.13953388, 0.17473018, 0.16286226, 0.1423567, 0.13835847]",3943043,772,Spain,2,4647,4660,Pass
9,0.27630752,"[0.2708694, 0.116261266, 0.18827339, 0.17488723, 0.11797243, 0.13173632]",3943043,772,Spain,1,246,258,Pass
110,0.2759179,"[0.14350802, 0.20561346, 0.23691559, 0.14976272, 0.13192834, 0.13227187]",3943043,772,Spain,2,4123,4131,Pass
22,0.2757893,"[0.3871325, 0.3623296, 0.25053787, 0.0, 0.0, 0.0]",3943043,772,Spain,1,738,741,Shot
136,0.27446792,"[0.23321262, 0.19716921, 0.14730845, 0.21265872, 0.10510894, 0.104542024]",3943043,772,Spain,2,5150,5156,Goal
134,0.27232018,"[0.24818598, 0.22474563, 0.2366182, 0.08400461, 0.12116267, 0.08528298]",3943043,772,Spain,2,5087,5097,Pass
136,0.2698692,"[0.22647919, 0.19840807, 0.17484574, 0.10336776, 0.21118271, 0.085716486]",3943043,772,Spain,2,5149,5155,Pass
30,0.26891243,"[0.18780635, 0.14714287, 0.1909191, 0.16766927, 0.22042766, 0.086034656]",3943043,772,Spain,1,1122,1128,Pass
105,0.26813856,"[0.21096131, 0.20078371, 0.170343, 0.10722802, 0.122666806, 0.18801714]",3943043,772,Spain,2,3941,3945,Shot
69,0.26796892,"[0.22820555, 0.15279925, 0.15495239, 0.1815374, 0.15672722, 0.12577811]",3943043,772,Spain,1,2532,2543,Pass
109,0.26747665,"[0.1960793, 0.19625738, 0.18794389, 0.182973, 0.10026832, 0.13647813]",3943043,772,Spain,2,4085,4090,Pass
26,0.2668193,"[0.20750883, 0.19484128, 0.2182119, 0.1105242, 0.16523114, 0.10368258]",3943043,768,England,1,874,883,Pass
